,season,week,date,awayteam,hometeam,stadium,location,winner,proba_away,proba_home
184,2022,15,2022-12-18,Lions,Jets,MetLife Stadium,"East Rutherford, NJ",0,0.5836,0.4164
185,2022,15,2022-12-18,Steelers,Panthers,Bank of America Stadium,"Charlotte, NC",0,0.5926,0.4074
186,2022,15,2022-12-18,Cowboys,Jaguars,TIAA Bank Field,"Jacksonville, FL",0,0.7391,0.2609
187,2022,15,2022-12-18,Chiefs,Texans,NRG Stadium,"Houston, TX",0,0.7639,0.2361
188,2022,15,2022-12-18,Cardinals,Broncos,Empower Field at Mile High,"Denver, CO",0,0.597,0.403
189,2022,15,2022-12-18,Titans,Chargers,SoFi Stadium,"Inglewood, CA",0,0.597,0.403
190,2022,15,2022-12-18,Bengals,Buccaneers,Raymond James Stadium,"Tampa, FL",1,0.4665,0.5335
191,2022,15,2022-12-18,Patriots,Raiders,Allegiant Stadium,"Las Vegas, NV",0,0.597,0.403
192,2022,15,2022-12-19,Rams,Packers,Lambeau Field,"Green Bay, WI",0,0.614,0.386
193,2022,16,2022-12-22,Jaguars,Jets,MetLife Stadium,"East Rutherford, NJ",1,0.4555,0.5445
194,2022,16,2022-12-24,Bills,Bears,Soldier Field,"Chicago, IL",0,0.597,0.403
195,2022,16,2022-12-24,Saints,Browns,FirstEnergy Stadium,"Cleveland, OH",0,0.7724,0.2276
196,2022,16,2022-12-24,Texans,Titans,Nissan Stadium,"Nashville, TN",0,0.597,0.403
197,2022,16,2022-12-24,Seahawks,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO",0,0.5836,0.4164
198,2022,16,2022-12-24,Giants,Vikings,U.S. Bank Stadium,"Minneapolis, MN",0,0.5673,0.4327
199,2022,16,2022-12-24,Bengals,Patriots,Gillette Stadium,"Foxboro, MA",1,0.4694,0.5306
200,2022,16,2022-12-24,Lions,Panthers,Bank of America Stadium,"Charlotte, NC",0,0.5791,0.4209
201,2022,16,2022-12-24,Falcons,Ravens,M&T Bank Stadium,"Baltimore, MD",0,0.597,0.403
202,2022,16,2022-12-24,Washington,49ers,Levi's Stadium,"Santa Clara, CA",0,0.597,0.403
203,2022,16,2022-12-24,Eagles,Cowboys,AT&T Stadium,"Arlington, TX",0,0.597,0.403
204,2022,16,2022-12-24,Raiders,Steelers,Acrisure Stadium,"Pittsburgh, PA",0,0.5188,0.4812
205,2022,12,2022-11-24,Bills,Lions,Ford Field,"Detroit, MI",0,0.597,0.403
206,2022,12,2022-11-24,Giants,Cowboys,AT&T Stadium,"Arlington, TX",0,0.5673,0.4327
207,2022,12,2022-11-24,Patriots,Vikings,U.S. Bank Stadium,"Minneapolis, MN",0,0.597,0.403
208,2022,16,2022-12-25,Packers,Dolphins,Hard Rock Stadium,"Miami Gardens, FL",0,0.597,0.403
209,2022,16,2022-12-25,Broncos,Rams,SoFi Stadium,"Inglewood, CA",0,0.597,0.403
210,2022,16,2022-12-25,Buccaneers,Cardinals,State Farm Stadium,"Glendale, AZ",0,0.597,0.403
211,2022,16,2022-12-26,Chargers,Colts,Lucas Oil Stadium,"Indianapolis, IN",0,0.597,0.403
212,2022,12,2022-11-27,Buccaneers,Browns,FirstEnergy Stadium,"Cleveland, OH",0,0.597,0.403
213,2022,12,2022-11-27,Bengals,Titans,Nissan Stadium,"Nashville, TN",1,0.4665,0.5335
214,2022,12,2022-11-27,Texans,Dolphins,Hard Rock Stadium,"Miami Gardens, FL",0,0.597,0.403
215,2022,12,2022-11-27,Bears,Jets,MetLife Stadium,"East Rutherford, NJ",0,0.597,0.403
216,2022,12,2022-11-27,Falcons,Washington,FedExField,"Landover, MD",0,0.597,0.403
217,2022,12,2022-11-27,Broncos,Panthers,Bank of America Stadium,"Charlotte, NC",0,0.5926,0.4074
218,2022,12,2022-11-27,Ravens,Jaguars,TIAA Bank Field,"Jacksonville, FL",0,0.7391,0.2609
219,2022,12,2022-11-27,Chargers,Cardinals,State Farm Stadium,"Glendale, AZ",0,0.597,0.403
220,2022,12,2022-11-27,Raiders,Seahawks,Lumen Field,"Seattle, WA",0,0.597,0.403
221,2022,12,2022-11-27,Rams,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO",0,0.6565,0.3435
222,2022,12,2022-11-27,Saints,49ers,Levi's Stadium,"Santa Clara, CA",0,0.7724,0.2276
223,2022,12,2022-11-27,Packers,Eagles,Lincoln Financial Field,"Philadelphia, PA",0,0.597,0.403
224,2022,12,2022-11-28,Steelers,Colts,Lucas Oil Stadium,"Indianapolis, IN",0,0.597,0.403
225,2022,13,2022-12-01,Bills,Patriots,Gillette Stadium,"Foxboro, MA",0,0.5998,0.4002
226,2022,13,2022-12-04,Steelers,Falcons,Mercedes-Benz Stadium,"Atlanta, GA",0,0.6134,0.3866
227,2022,13,2022-12-04,Packers,Bears,Soldier Field,"Chicago, IL",0,0.597,0.403
