,season,week,awayteam,hometeam,awayscore,homescore,idgame,score_abs,winner_home,winner_away,winner_team,concat,home_coach,away_coach,location,weather_type,temperature,humidity,wind
800,2020,13,Giants,Seahawks,17,12,401220364,-5,0,1,Giants,2020_13_Seahawks_Giants,Pete Carroll,Joe Judge,Home,cloudy,51,83,4
801,2020,13,Eagles,Packers,16,30,401220297,14,1,0,Packers,2020_13_Packers_Eagles,Matt LaFleur,Doug Pederson,Home,cloudy,34,64,9
802,2020,1,Dolphins,Patriots,11,21,401220131,10,1,0,Patriots,2020_01_Patriots_Dolphins,Bill Belichick,Brian Flores,Home,cloudy,7,62,8
803,2020,1,Eagles,Washington,17,27,401220268,10,1,0,Washington,2020_01_Washington_Eagles,Ron Rivera,Doug Pederson,Home,cloudy,76,68,5
804,2020,7,Jaguars,Chargers,29,39,401220241,10,1,0,Chargers,2020_07_Chargers_Jaguars,Anthony Lynn,Doug Marrone,Home,cloudy,68,58,9
805,2020,3,Jets,Colts,7,36,401220193,29,1,0,Colts,2020_03_Colts_Jets,Frank Reich,Adam Gase,Home,sunny,68,79,5
806,2020,2,Chiefs,Chargers,23,20,401220235,-3,0,1,Chiefs,2020_02_Chargers_Chiefs,Anthony Lynn,Andy Reid,Home,sunny,75,61,9
807,2020,2,Panthers,Buccaneers,17,31,401220329,14,1,0,Buccaneers,2020_02_Buccaneers_Panthers,Bruce Arians,Matt Rhule,Home,cloudy,85,72,17
808,2020,13,Patriots,Chargers,45,0,401220237,-45,0,1,Patriots,2020_13_Chargers_Patriots,Anthony Lynn,Bill Belichick,Home,cloudy,7,20,6
809,2020,13,Broncos,Chiefs,16,22,401220218,6,1,0,Chiefs,2020_13_Chiefs_Broncos,Andy Reid,Vic Fangio,Home,cloudy,41,70,9
810,2020,13,Washington,Steelers,23,17,401220176,-6,0,1,Washington,2020_13_Steelers_Washington,Mike Tomlin,Ron Rivera,Home,cloudy,34,58,10
811,2020,7,49ers,Patriots,33,6,401220136,-27,0,1,49ers,2020_07_Patriots_49ers,Bill Belichick,Kyle Shanahan,Home,cloudy,49,60,7
812,2020,11,Packers,Colts,31,34,401220191,3,1,0,Colts,2020_11_Colts_Packers,Frank Reich,Matt LaFleur,Home,cloudy,68,38,5
813,2020,16,Titans,Packers,14,40,401220296,26,1,0,Packers,2020_16_Packers_Titans,Matt LaFleur,Mike Vrabel,Home,snow,28,88,15
814,2020,17,Washington,Eagles,20,14,401220260,-6,0,1,Washington,2020_17_Eagles_Washington,Doug Pederson,Ron Rivera,Home,rain,38,92,10
815,2020,13,Bills,49ers,34,24,401220357,-10,0,1,Bills,2020_13_49ers_Bills,Kyle Shanahan,Sean McDermott,Neutral,cloudy,68,70,5
816,2020,13,Cowboys,Ravens,17,34,401220151,17,1,0,Ravens,2020_13_Ravens_Cowboys,John Harbaugh,Mike McCarthy,Home,cloudy,38,54,9
817,2020,7,Chiefs,Broncos,43,16,401220210,-27,0,1,Chiefs,2020_07_Broncos_Chiefs,Vic Fangio,Andy Reid,Home,fog,14,78,11
818,2020,7,Buccaneers,Raiders,45,20,401220232,-25,0,1,Buccaneers,2020_07_Raiders_Buccaneers,Jon Gruden,Bruce Arians,Home,sunny,75,28,9
