,week,awayteam,hometeam,pred_winner_team,real_winner,team,abbr,moneyline,money_bet,good_predict,pocket
199,14,Jaguars,Titans,Titans,Titans,TEN,TEN,-430.0,100.0,Yes,123.25581395348837
200,14,Lions,Broncos,Broncos,Broncos,DEN,DEN,-455.0,100.0,Yes,121.97802197802199
201,14,Raiders,Chiefs,Chiefs,Chiefs,KC,KC,-450.0,100.0,Yes,122.22222222222223
202,14,Rams,Cardinals,Rams,Rams,LAR,LAR,115.0,100.0,Yes,215.0
203,14,Ravens,Browns,Browns,Browns,CLE,CLE,-145.0,100.0,Yes,168.9655172413793
204,14,Saints,Jets,Saints,Saints,NO,NO,-235.0,100.0,Yes,142.5531914893617
205,14,Seahawks,Texans,Texans,Seahawks,HOU,HOU,320.0,100.0,No,-100.0
206,14,Steelers,Vikings,Steelers,Vikings,PIT,PIT,155.0,100.0,No,-100.0
207,15,Bengals,Broncos,Broncos,Bengals,DEN,DEN,-150.0,100.0,No,-100.0
208,15,Cardinals,Lions,Cardinals,Lions,ARI,ARI,-675.0,100.0,No,-100.0
209,15,Chiefs,Chargers,Chiefs,Chiefs,KC,KC,-170.0,100.0,Yes,158.8235294117647
210,15,Cowboys,Giants,Cowboys,Cowboys,DAL,DAL,-500.0,100.0,Yes,120.0
211,15,Falcons,49ers,49ers,49ers,SF,SF,-410.0,100.0,Yes,124.39024390243902
212,15,Jets,Dolphins,Dolphins,Dolphins,MIA,MIA,-420.0,100.0,Yes,123.80952380952381
213,15,Packers,Ravens,Packers,Packers,GB,GB,-240.0,100.0,Yes,141.66666666666666
214,15,Panthers,Bills,Bills,Bills,BUF,BUF,-505.0,100.0,Yes,119.8019801980198
215,15,Patriots,Colts,Colts,Colts,IND,IND,-135.0,100.0,Yes,174.07407407407408
216,15,Raiders,Browns,Raiders,Raiders,LV,LV,-165.0,100.0,Yes,160.60606060606062
217,15,Saints,Buccaneers,Saints,Saints,NO,NO,405.0,100.0,Yes,505.0
218,15,Seahawks,Rams,Rams,Rams,LAR,LAR,-210.0,100.0,Yes,147.61904761904762
219,15,Texans,Jaguars,Texans,Texans,HOU,HOU,180.0,100.0,Yes,280.0
220,15,Titans,Steelers,Steelers,Steelers,PIT,PIT,-110.0,100.0,Yes,190.9090909090909
221,15,Vikings,Bears,Vikings,Vikings,MIN,MIN,-230.0,100.0,Yes,143.47826086956522
222,15,Washington,Eagles,Eagles,Eagles,PHI,PHI,-415.0,100.0,Yes,124.09638554216868
223,16,49ers,Titans,Titans,Titans,TEN,TEN,155.0,100.0,Yes,255.0
224,16,Bears,Seahawks,Bears,Bears,CHI,CHI,230.0,100.0,Yes,330.0
225,16,Bills,Patriots,Bills,Bills,BUF,BUF,115.0,100.0,Yes,215.0
226,16,Broncos,Raiders,Raiders,Raiders,LV,LV,-110.0,100.0,Yes,190.9090909090909
227,16,Browns,Packers,Packers,Packers,GB,GB,-355.0,100.0,Yes,128.16901408450704
228,16,Buccaneers,Panthers,Buccaneers,Buccaneers,TB,TB,-460.0,100.0,Yes,121.73913043478261
229,16,Chargers,Texans,Texans,Texans,HOU,HOU,350.0,100.0,Yes,450.0
230,16,Colts,Cardinals,Colts,Colts,IND,IND,-105.0,100.0,Yes,195.23809523809524
231,16,Dolphins,Saints,Dolphins,Dolphins,MIA,MIA,145.0,100.0,Yes,245.0
232,16,Giants,Eagles,Eagles,Eagles,PHI,PHI,-455.0,100.0,Yes,121.97802197802199
233,16,Jaguars,Jets,Jets,Jets,NYJ,NYJ,-115.0,100.0,Yes,186.95652173913044
234,16,Lions,Falcons,Falcons,Falcons,ATL,ATL,-245.0,100.0,Yes,140.81632653061223
235,16,Rams,Vikings,Rams,Rams,LAR,LAR,-160.0,100.0,Yes,162.5
236,16,Ravens,Bengals,Bengals,Bengals,CIN,CIN,-135.0,100.0,Yes,174.07407407407408
237,16,Steelers,Chiefs,Chiefs,Chiefs,KC,KC,-390.0,100.0,Yes,125.64102564102564
238,16,Washington,Cowboys,Cowboys,Cowboys,DAL,DAL,-480.0,100.0,Yes,120.83333333333333
239,17,Broncos,Chargers,Chargers,Chargers,LAC,LAC,-365.0,100.0,Yes,127.3972602739726
240,17,Browns,Steelers,Steelers,Steelers,PIT,PIT,150.0,100.0,Yes,250.0
241,17,Buccaneers,Jets,Buccaneers,Buccaneers,TB,TB,-865.0,100.0,Yes,111.5606936416185
242,17,Cardinals,Cowboys,Cowboys,Cardinals,DAL,DAL,-280.0,100.0,No,-100.0
243,17,Chiefs,Bengals,Chiefs,Bengals,KC,KC,-190.0,100.0,No,-100.0
244,17,Dolphins,Titans,Titans,Titans,TEN,TEN,-170.0,100.0,Yes,158.8235294117647
245,17,Eagles,Washington,Eagles,Eagles,PHI,PHI,-250.0,100.0,Yes,140.0
246,17,Falcons,Bills,Bills,Bills,BUF,BUF,-950.0,100.0,Yes,110.52631578947368
247,17,Giants,Bears,Bears,Bears,CHI,CHI,-290.0,100.0,Yes,134.48275862068965
248,17,Jaguars,Patriots,Patriots,Patriots,NE,NE,-1195.0,100.0,Yes,108.36820083682008
249,17,Lions,Seahawks,Seahawks,Seahawks,SEA,SEA,-380.0,100.0,Yes,126.3157894736842
250,17,Panthers,Saints,Saints,Saints,NO,NO,-300.0,100.0,Yes,133.33333333333334
251,17,Raiders,Colts,Raiders,Raiders,LV,LV,315.0,100.0,Yes,415.0
252,17,Rams,Ravens,Rams,Rams,LAR,LAR,-315.0,100.0,Yes,131.74603174603175
